id,mtype,competition,gender,team1,team2,venue,date
1068732,ODM,,male,Hong Kong,Netherlands,"Mission Road Ground, Mong Kok",2017-02-18
1043989,T20,,female,Australia,New Zealand,Melbourne Cricket Ground,2017-02-17
1001349,T20,,male,Australia,Sri Lanka,Melbourne Cricket Ground,2017-02-17
1073426,ODI,,female,Ireland,Pakistan,Colombo Cricket Club Ground,2017-02-17
1020029,T20,,male,New Zealand,South Africa,Eden Park,2017-02-17
1073425,ODI,,female,Bangladesh,India,Nondescripts Cricket Club Ground,2017-02-17
1073424,ODI,,female,Sri Lanka,South Africa,P Sara Oval,2017-02-17
1068731,ODM,,male,Hong Kong,Netherlands,"Mission Road Ground, Mong Kok",2017-02-16
1079246,ODI,,male,Zimbabwe,Afghanistan,Harare Sports Club,2017-02-16
1073421,ODI,,female,India,South Africa,P Sara Oval,2017-02-15
1073423,ODI,,female,Bangladesh,Ireland,Colombo Cricket Club Ground,2017-02-15
1073422,ODI,,female,Sri Lanka,Pakistan,Nondescripts Cricket Club Ground,2017-02-15
1073418,ODM,,female,Sri Lanka,Thailand,Mercantile Cricket Association Ground,2017-02-13
1073420,ODM,,female,Pakistan,Scotland,Colombo Cricket Club Ground,2017-02-13
1073419,ODM,,female,Papua New Guinea,South Africa,Nondescripts Cricket Club Ground,2017-02-13
1073417,ODM,,female,India,Zimbabwe,P Sara Oval,2017-02-13
1073416,ODM,,female,Ireland,Thailand,Colombo Cricket Club Ground,2017-02-11
1073415,ODM,,female,Sri Lanka,Zimbabwe,Nondescripts Cricket Club Ground,2017-02-11
1073413,ODI,,female,Bangladesh,South Africa,P Sara Oval,2017-02-11
1073414,ODM,,female,Papua New Guinea,Scotland,Mercantile Cricket Association Ground,2017-02-11
1073412,ODM,,female,Thailand,Zimbabwe,Mercantile Cricket Association Ground,2017-02-10
1073411,ODI,,female,India,Ireland,P Sara Oval,2017-02-10
1073409,ODM,,female,Papua New Guinea,Pakistan,Nondescripts Cricket Club Ground,2017-02-10
1068730,MDM,,male,Hong Kong,Netherlands,"Mission Road Ground, Mong Kok",2017-02-10
1073410,ODM,,female,Bangladesh,Scotland,Colombo Cricket Club Ground,2017-02-10
936167,ODI,,male,South Africa,Sri Lanka,SuperSport Park,2017-02-10
1041761,Test,,male,India,Bangladesh,"Rajiv Gandhi International Stadium, Uppal",2017-02-09
1073406,ODM,,female,India,Thailand,Colombo Cricket Club Ground,2017-02-08
1073407,ODM,,female,Scotland,South Africa,Mercantile Cricket Association Ground,2017-02-08
1073408,ODI,,female,Bangladesh,Pakistan,P Sara Oval,2017-02-08
1073405,ODI,,female,Sri Lanka,Ireland,Nondescripts Cricket Club Ground,2017-02-08
1073402,ODM,,female,Ireland,Zimbabwe,Mercantile Cricket Association Ground,2017-02-07
1073403,ODI,,female,Pakistan,South Africa,Nondescripts Cricket Club Ground,2017-02-07
1073404,ODM,,female,Bangladesh,Papua New Guinea,Colombo Cricket Club Ground,2017-02-07
